trials_3.thisTrialN,trials_3.stepSize,trials_3.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,orientation,trials_3.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
19,1,1.0,59.748157780617476,60.24789600260556,60.24789600260556,60.24789600260556,60.54760124720633,1.0,1,0.7178054079413414,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
20,1,1.0,60.9970835596323,61.49689289368689,61.49689289368689,61.49689289368689,61.79652125015855,1.0,1,1.5583612471818924,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
21,1,1.0,63.07853897102177,63.578573636710644,63.578573636710644,63.578573636710644,63.87789488397539,1.0,1,0.8200745582580566,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
22,1,1.0,64.42738101817667,64.92723524011672,64.92723524011672,64.92723524011672,65.22667870670557,-1.0,1,1.009649332612753,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
23,1,1.0,65.95930451527238,66.45918851718307,66.45918851718307,66.45918851718307,66.75865109451115,1.0,1,0.7740586400032043,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
24,1,1.0,67.25827109627426,67.7579937633127,67.7579937633127,67.7579937633127,68.05770700797439,1.0,1,0.8542602751404047,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
25,1,1.0,68.6403850838542,69.14015663973987,69.14015663973987,69.14015663973987,69.43979566171765,-1.0,1,1.5179559830576181,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
26,1,1.0,70.68875077553093,71.18838321976364,71.18838321976364,71.18838321976364,71.48792935349047,1.0,1,1.0025964546948671,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
27,1,1.0,72.22074849531054,72.72034627385437,72.72034627385437,72.72034627385437,73.01990840770304,1.0,1,0.7953190468251705,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
28,0.5,1.0,73.53609193488955,74.03584304638207,74.03584304638207,74.03584304638207,74.33533940277994,-1.0,0,2.144611759111285,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
29,0.5,1.5,76.20043786615133,76.7002125326544,76.7002125326544,76.7002125326544,76.99974133260548,1.5,1,1.5472523756325245,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
30,0.5,1.5,78.26547730527818,78.76507419534028,78.76507419534028,78.76507419534028,79.06458521820605,-1.5,1,0.5895349681377411,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
31,1,1.5,79.38095843233168,79.88078954443336,79.88078954443336,79.88078954443336,80.18024278990924,1.5,1,1.212444081902504,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
32,1,1.0,81.11282379925251,81.612812243402,81.612812243402,81.612812243402,81.91204459965229,-1.0,1,1.2163591869175434,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
33,1,1.0,82.86132469028234,83.36109891347587,83.36109891347587,83.36109891347587,83.66057704761624,1.0,1,0.9354894626885653,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
34,1,1.0,84.32669986225665,84.82640075311065,84.82640075311065,84.82640075311065,85.12595888599753,-1.0,1,0.9468467775732279,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
35,1,1.0,85.79210348054767,86.29185236990452,86.29185236990452,86.29185236990452,86.5913185030222,1.0,1,1.5809687618166208,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
